,player_name,season,depth,targets,receptions,receiving_yards,receiving_air_yards,yards_after_catch,reception_td,reception_fumble_lost,fantasy_points_ppr,air_yards_share,target_share,rec_td_pct,yptarget,ypr,rush_td_pct,ypc,touches,total_tds,td_pct,total_yards,yptouch,games,pass_ypg,rec_ypg,rush_ypg,ypg,ppg,passer_rating,offense_pct,offense_snaps,yards_pct,draft_year,draft_round,draft_pick,draft_ovr,height,weight_x,age,wins,losses,ties,win_pct,seasons_played,career_targets,average_targets,career_receptions,average_receptions,career_receiving_yards,average_receiving_yards,career_receiving_air_yards,average_receiving_air_yards,career_yards_after_catch,average_yards_after_catch,career_reception_td,average_reception_td,career_reception_fumble_lost,average_reception_fumble_lost,career_fantasy_points_ppr,average_fantasy_points_ppr,career_touches,average_touches,career_total_tds,average_total_tds,career_total_yards,average_total_yards,career_games,average_games,career_offense_snaps,average_offense_snaps,average_comp_pct,average_int_pct,average_pass_td_pct,average_ypa,average_rec_td_pct,average_yptarget,average_ypr,average_rush_td_pct,average_ypc,average_td_pct,average_yptouch,average_pass_ypg,average_rec_ypg,average_rush_ypg,average_ypg,average_ppg,injuries,career_injuries,combineId,playerId,combineYear,combineHeight,combineWeight,combineHand,collegeId,heightInches,weight_y,combineArm,combine40yd,combineVert,combineBench,combineShuttle,combineBroad,combine3cone,combine60ydShuttle,combineWonderlic
0,A.J. Brown,2019,2.0,84.0,52.0,1051.0,1107.0,465.0,8.0,0.0,217.1,0.231,0.145,0.095,12.51,20.21,0.333,20.0,55.0,9.0,0.16,1111.0,20.2,16.0,0.0,65.69,3.75,69.44,13.57,0.0,0.689,639,0.114,2019.0,2.0,19.0,51.0,73.0,226.0,22,9,7,0,0.562,0.0,84.0,84.0,52.0,52.0,1051.0,1051.0,1107.0,1107.0,465.0,465.0,8.0,8.0,0.0,0.0,217.1000061035156,217.1000061035156,55.0,55.0,9.0,9.0,1111.0,1111.0,16.0,16.0,639.0,639.0,0.0,0.0,0.0,0.0,0.095,12.51,20.21,0.333,20.0,0.16,20.2,0.0,65.69,3.75,69.44,13.57,0.0,0.0,20267.0,20190051.0,2019.0,72.0,226.0,9.586666666666668,38677.0,73.0,230.0,32.67433333333334,4.49,36.5,19.0,4.243622902270483,120.0,6.9371444695259585,11.728636363636362,19.495495495495497
1,A.J. Green,2012,1.0,164.0,97.0,1350.0,2235.0,381.0,12.0,1.0,304.8,0.477,0.281,0.073,8.23,13.92,0.0,9.5,101.0,12.0,0.12,1388.0,13.74,16.0,0.0,84.38,2.38,86.75,19.05,0.0,0.904,899,0.152,2011.0,1.0,4.0,4.0,76.0,210.0,24,10,6,0,0.625,1.0,164.0,164.0,97.0,97.0,1350.0,1350.0,2235.0,2235.0,381.0,381.0,12.0,12.0,1.0,1.0,304.79998779296875,304.79998779296875,101.0,101.0,12.0,12.0,1388.0,1388.0,16.0,16.0,899.0,899.0,0.0,0.0,0.0,0.0,0.073,8.23,13.92,0.0,9.5,0.12,13.74,0.0,84.38,2.38,86.75,19.05,2.0,2.0,17440.0,20110004.0,2011.0,75.63,211.0,9.586666666666668,30602.0,76.0,210.0,32.67433333333334,4.48,34.5,18.0,4.21,126.0,6.91,11.728636363636362,10.0
2,A.J. Jenkins,2012,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.001,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,171,0.0,2012.0,1.0,30.0,30.0,73.0,195.0,22,11,5,1,0.647,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,171.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,40.0,10715.0,19890228.0,1989.0,73.6,227.0,9.586666666666668,92831.0,74.0,237.0,32.67433333333334,4.77,34.5,15.0,4.48,121.0,6.9371444695259585,11.728636363636362,19.495495495495497
3,A.T. Perry,2023,2.0,18.0,12.0,246.0,293.0,20.0,4.0,0.0,60.6,0.054,0.026,0.222,13.67,20.5,0.0,0.0,12.0,4.0,0.33,246.0,20.5,8.0,0.0,30.75,0.0,30.75,7.57,0.0,0.53,584,0.025,2023.0,6.0,18.0,195.0,77.0,205.0,24,9,8,0,0.529,0.0,18.0,18.0,12.0,12.0,246.0,246.0,293.0,293.0,20.0,20.0,4.0,4.0,0.0,0.0,60.59999847412109,60.59999847412109,12.0,12.0,4.0,4.0,246.0,246.0,8.0,8.0,584.0,584.0,0.0,0.0,0.0,0.0,0.222,13.67,20.5,0.0,0.0,0.33,20.5,0.0,30.75,0.0,30.75,7.57,1.0,1.0,17709.69645390071,20112021.9964539,2011.186524822695,72.68675177304964,207.25886524822695,9.586666666666668,52200.00992907801,72.80425531914894,207.31560283687944,32.67433333333334,4.5200463320463315,35.373366013071895,15.492,4.243622902270483,120.43132328308208,6.9371444695259585,11.728636363636362,19.495495495495497
4,Aaron Burbridge,2016,2.0,16.0,7.0,88.0,139.0,43.0,0.0,0.0,15.8,0.036,0.034,0.0,5.5,12.57,0.0,0.0,7.0,0.0,0.0,88.0,12.57,8.0,0.0,11.0,0.0,11.0,1.98,0.0,0.235,232,0.011,2016.0,6.0,38.0,213.0,73.0,208.0,23,2,14,0,0.125,0.0,16.0,16.0,7.0,7.0,88.0,88.0,139.0,139.0,43.0,43.0,0.0,0.0,0.0,0.0,15.800000190734863,15.800000190734863,7.0,7.0,0.0,0.0,88.0,88.0,8.0,8.0,232.0,232.0,0.0,0.0,0.0,0.0,0.0,5.5,12.57,0.0,0.0,0.0,12.57,0.0,11.0,0.0,11.0,1.98,1.0,3.0,19352.0,20160213.0,2016.0,72.0,206.0,9.586666666666668,48824.0,73.0,208.0,32.67433333333334,4.56,30.5,20.0,4.31,115.0,7.22,11.728636363636362,19.495495495495497
5,Aaron Dobson,2013,2.0,72.0,37.0,519.0,995.0,185.0,4.0,0.0,112.9,0.18,0.108,0.056,7.21,14.03,0.0,0.0,37.0,4.0,0.11,519.0,14.03,11.0,0.0,47.18,0.0,47.18,10.26,0.0,0.624,698,0.049,2013.0,2.0,27.0,59.0,75.0,205.0,22,12,4,0,0.75,0.0,72.0,72.0,37.0,37.0,519.0,519.0,995.0,995.0,185.0,185.0,4.0,4.0,0.0,0.0,112.9000015258789,112.9000015258789,37.0,37.0,4.0,4.0,519.0,519.0,11.0,11.0,698.0,698.0,0.0,0.0,0.0,0.0,0.056,7.21,14.03,0.0,0.0,0.11,14.03,0.0,47.18,0.0,47.18,10.26,11.0,11.0,17709.69645390071,20112021.9964539,2011.186524822695,72.68675177304964,207.25886524822695,9.586666666666668,52200.00992907801,72.80425531914894,207.31560283687944,32.67433333333334,4.5200463320463315,35.373366013071895,15.492,4.243622902270483,120.43132328308208,6.9371444695259585,11.728636363636362,19.495495495495497
6,Ace Sanders,2013,1.0,86.0,51.0,484.0,502.0,297.0,1.0,0.0,112.64,0.1,0.135,0.012,5.63,9.49,0.0,2.0,54.0,2.0,0.04,509.0,9.43,15.0,1.4,32.27,0.27,33.93,7.51,158.3,0.604,615,0.06,2013.0,4.0,4.0,101.0,67.0,178.0,22,4,12,0,0.25,0.0,86.0,86.0,51.0,51.0,484.0,484.0,502.0,502.0,297.0,297.0,1.0,1.0,0.0,0.0,112.63999938964844,112.63999938964844,54.0,54.0,2.0,2.0,509.0,509.0,15.0,15.0,615.0,615.0,1.0,0.0,1.0,21.0,0.012,5.63,9.49,0.0,2.0,0.04,9.43,1.4,32.27,0.27,33.93,7.51,4.0,4.0,18192.0,20130101.0,2013.0,67.0,173.0,9.586666666666668,29208.0,67.0,178.0,32.67433333333334,4.58,32.0,7.0,4.37,117.0,6.81,11.728636363636362,19.495495495495497
7,Adam Humphries,2015,2.0,41.0,27.0,260.0,270.0,123.0,2.0,0.0,65.0,0.048,0.069,0.049,6.34,9.63,0.0,0.0,27.0,2.0,0.07,260.0,9.63,11.0,0.0,23.64,0.0,23.64,5.91,0.0,0.488,491,0.026,2015.0,8.0,48.0,263.0,71.0,195.0,22,6,10,0,0.375,0.0,41.0,41.0,27.0,27.0,260.0,260.0,270.0,270.0,123.0,123.0,2.0,2.0,0.0,0.0,65.0,65.0,27.0,27.0,2.0,2.0,260.0,260.0,11.0,11.0,491.0,491.0,0.0,0.0,0.0,0.0,0.049,6.34,9.63,0.0,0.0,0.07,9.63,0.0,23.64,0.0,23.64,5.91,4.0,4.0,17709.69645390071,20112021.9964539,2011.186524822695,72.68675177304964,207.25886524822695,9.586666666666668,52200.00992907801,72.80425531914894,207.31560283687944,32.67433333333334,4.5200463320463315,35.373366013071895,15.492,4.243622902270483,120.43132328308208,6.9371444695259585,11.728636363636362,19.495495495495497
8,Adam Thielen,2014,2.0,13.0,8.0,137.0,170.0,34.0,1.0,0.0,27.7,0.051,0.025,0.077,10.54,17.12,0.0,0.0,8.0,1.0,0.12,137.0,17.12,6.0,0.0,22.83,0.0,22.83,4.62,0.0,0.155,149,0.016,2014.0,8.0,48.0,263.0,74.0,195.0,24,7,9,0,0.438,0.0,13.0,13.0,8.0,8.0,137.0,137.0,170.0,170.0,34.0,34.0,1.0,1.0,0.0,0.0,27.700000762939453,27.700000762939453,8.0,8.0,1.0,1.0,137.0,137.0,6.0,6.0,149.0,149.0,0.0,0.0,0.0,0.0,0.077,10.54,17.12,0.0,0.0,0.12,17.12,0.0,22.83,0.0,22.83,4.62,4.0,12.0,17709.69645390071,20112021.9964539,2011.186524822695,72.68675177304964,207.25886524822695,9.586666666666668,52200.00992907801,72.80425531914894,207.31560283687944,32.67433333333334,4.5200463320463315,35.373366013071895,15.492,4.243622902270483,120.43132328308208,6.9371444695259585,11.728636363636362,19.495495495495497
9,Albert Wilson,2014,3.0,28.0,16.0,260.0,264.0,119.0,0.0,0.0,42.0,0.067,0.055,0.0,9.29,16.25,0.0,0.0,16.0,0.0,0.0,260.0,16.25,7.0,0.0,37.14,0.0,37.14,6.0,0.0,0.418,399,0.03,2014.0,8.0,48.0,263.0,69.0,195.0,22,9,7,0,0.562,0.0,28.0,28.0,16.0,16.0,260.0,260.0,264.0,264.0,119.0,119.0,0.0,0.0,0.0,0.0,42.0,42.0,16.0,16.0,0.0,0.0,260.0,260.0,7.0,7.0,399.0,399.0,0.0,0.0,0.0,0.0,0.0,9.29,16.25,0.0,0.0,0.0,16.25,0.0,37.14,0.0,37.14,6.0,2.0,2.0,18567.0,20140613.0,2014.0,69.0,202.0,9.586666666666668,30303.0,69.0,200.0,32.67433333333334,4.43,37.5,10.0,4.21,123.0,7.0,11.728636363636362,19.495495495495497
