,player_name,season,depth,targets,receptions,receiving_yards,receiving_air_yards,yards_after_catch,reception_td,reception_fumble_lost,fantasy_points_ppr,air_yards_share,target_share,rec_td_pct,yptarget,ypr,rush_td_pct,ypc,touches,total_tds,td_pct,total_yards,yptouch,games,pass_ypg,rec_ypg,rush_ypg,ypg,ppg,passer_rating,offense_pct,offense_snaps,yards_pct,draft_year,draft_round,draft_pick,draft_ovr,height,weight_x,age,wins,losses,ties,win_pct,seasons_played,career_targets,average_targets,career_receptions,average_receptions,career_receiving_yards,average_receiving_yards,career_receiving_air_yards,average_receiving_air_yards,career_yards_after_catch,average_yards_after_catch,career_reception_td,average_reception_td,career_reception_fumble_lost,average_reception_fumble_lost,career_fantasy_points_ppr,average_fantasy_points_ppr,career_touches,average_touches,career_total_tds,average_total_tds,career_total_yards,average_total_yards,career_games,average_games,career_offense_snaps,average_offense_snaps,average_comp_pct,average_int_pct,average_pass_td_pct,average_ypa,average_rec_td_pct,average_yptarget,average_ypr,average_rush_td_pct,average_ypc,average_td_pct,average_yptouch,average_pass_ypg,average_rec_ypg,average_rush_ypg,average_ypg,average_ppg,injuries,career_injuries,combineId,playerId,combineYear,combineHeight,combineWeight,combineHand,collegeId,heightInches,weight_y,combineArm,combine40yd,combineVert,combineBench,combineShuttle,combineBroad,combine3cone,combine60ydShuttle,combineWonderlic
0,A.J. Brown,2023,1.0,158.0,106.0,1456.0,1853.0,473.0,8.0,2.0,293.6,0.351,0.238,0.051,9.22,13.74,0.0,0.0,106.0,8.0,0.08,1456.0,13.74,17.0,0.0,85.65,0.0,85.65,17.27,0.0,0.888,980,0.144,2019.0,2.0,19.0,51.0,73.0,226.0,26,11,6,0,0.647,4.0,598.0,149.5,379.0,94.75,5947.0,1486.75,7078.0,1769.5,2157.0,539.25,45.0,11.25,5.0,1.25,1241.7000122070312,310.4250030517578,386.0,96.5,46.0,11.5,6017.0,1504.25,77.0,19.25,4164.0,1041.0,0.0,0.0,0.0,0.0,0.075,9.94,15.69,0.2,14.0,0.12,15.59,0.0,77.23,0.91,78.14,16.13,1.0,7.0,20267.0,20190051.0,2019.0,72.0,226.0,9.586666666666668,38677.0,73.0,230.0,32.67433333333334,4.49,36.5,19.0,4.243622902270483,120.0,6.9371444695259585,11.728636363636362,19.495495495495497
1,A.J. Green,2022,1.0,49.0,24.0,238.0,515.0,56.0,2.0,0.0,59.8,0.106,0.074,0.041,4.86,9.92,0.0,0.0,24.0,2.0,0.08,238.0,9.92,13.0,0.0,18.31,0.0,18.31,4.6,0.0,0.519,592,0.025,2011.0,1.0,4.0,4.0,76.0,210.0,34,4,13,0,0.235,11.0,1157.0,105.1818181818182,662.0,60.18181818181818,9467.0,860.6363636363636,14843.0,1349.3636363636365,2470.0,224.54545454545453,68.0,6.181818181818182,7.0,0.6363636363636364,1999.700008392334,181.79090985384852,668.0,60.72727272727273,68.0,6.181818181818182,9507.0,864.2727272727273,140.0,12.727272727272728,8177.0,743.3636363636364,0.0,0.0,0.0,0.0,0.059,8.18,14.3,0.0,6.67,0.1,14.23,0.0,67.62,0.29,67.91,14.28,1.0,40.0,17440.0,20110004.0,2011.0,75.63,211.0,9.586666666666668,30602.0,76.0,210.0,32.67433333333334,4.48,34.5,18.0,4.21,126.0,6.91,11.728636363636362,10.0
2,A.J. Jenkins,2014,2.0,15.0,9.0,93.0,131.0,43.0,0.0,0.0,18.1,0.033,0.03,0.0,6.2,10.33,0.0,-1.0,11.0,0.0,0.0,91.0,8.27,7.0,0.0,13.29,-0.29,13.0,2.59,0.0,0.431,412,0.011,2012.0,1.0,30.0,30.0,73.0,195.0,24,9,7,0,0.562,2.0,33.0,16.5,17.0,8.5,223.0,111.5,333.0,166.5,87.0,43.5,0.0,0.0,0.0,0.0,39.70000076293945,19.850000381469727,21.0,10.5,0.0,0.0,227.0,113.5,15.0,7.5,768.0,384.0,0.0,0.0,0.0,0.0,0.0,6.76,13.12,0.0,1.0,0.0,10.81,0.0,14.87,0.27,15.13,2.65,3.0,3.0,17795.0,20120030.0,2012.0,72.25,190.0,9.586666666666668,61801.0,72.0,200.0,32.67433333333334,4.37,38.5,12.0,4.243622902270483,124.0,6.9371444695259585,11.728636363636362,19.495495495495497
3,A.T. Perry,2023,2.0,18.0,12.0,246.0,293.0,20.0,4.0,0.0,60.6,0.054,0.026,0.222,13.67,20.5,0.0,0.0,12.0,4.0,0.33,246.0,20.5,8.0,0.0,30.75,0.0,30.75,7.57,0.0,0.53,584,0.025,2023.0,6.0,18.0,195.0,77.0,205.0,24,9,8,0,0.529,0.0,18.0,18.0,12.0,12.0,246.0,246.0,293.0,293.0,20.0,20.0,4.0,4.0,0.0,0.0,60.59999847412109,60.59999847412109,12.0,12.0,4.0,4.0,246.0,246.0,8.0,8.0,584.0,584.0,0.0,0.0,0.0,0.0,0.222,13.67,20.5,0.0,0.0,0.33,20.5,0.0,30.75,0.0,30.75,7.57,1.0,1.0,17709.69645390071,20112021.9964539,2011.186524822695,72.68675177304964,207.25886524822695,9.586666666666668,52200.00992907801,72.80425531914894,207.31560283687944,32.67433333333334,4.5200463320463315,35.373366013071895,15.492,4.243622902270483,120.43132328308208,6.9371444695259585,11.728636363636362,19.495495495495497
4,Aaron Burbridge,2016,2.0,16.0,7.0,88.0,139.0,43.0,0.0,0.0,15.8,0.036,0.034,0.0,5.5,12.57,0.0,0.0,7.0,0.0,0.0,88.0,12.57,8.0,0.0,11.0,0.0,11.0,1.98,0.0,0.235,232,0.011,2016.0,6.0,38.0,213.0,73.0,208.0,23,2,14,0,0.125,0.0,16.0,16.0,7.0,7.0,88.0,88.0,139.0,139.0,43.0,43.0,0.0,0.0,0.0,0.0,15.800000190734863,15.800000190734863,7.0,7.0,0.0,0.0,88.0,88.0,8.0,8.0,232.0,232.0,0.0,0.0,0.0,0.0,0.0,5.5,12.57,0.0,0.0,0.0,12.57,0.0,11.0,0.0,11.0,1.98,1.0,3.0,19352.0,20160213.0,2016.0,72.0,206.0,9.586666666666668,48824.0,73.0,208.0,32.67433333333334,4.56,30.5,20.0,4.31,115.0,7.22,11.728636363636362,19.495495495495497
5,Aaron Dobson,2015,2.0,21.0,13.0,141.0,209.0,29.0,0.0,0.0,27.1,0.038,0.032,0.0,6.71,10.85,0.0,0.0,13.0,0.0,0.0,141.0,10.85,6.0,0.0,23.5,0.0,23.5,4.52,0.0,0.354,364,0.013,2013.0,2.0,27.0,59.0,75.0,205.0,24,12,4,0,0.75,2.0,98.0,49.0,53.0,26.5,698.0,349.0,1258.0,629.0,235.0,117.5,4.0,2.0,0.0,0.0,146.8000020980835,73.40000104904175,53.0,26.5,4.0,2.0,698.0,349.0,21.0,10.5,1278.0,639.0,0.0,0.0,0.0,0.0,0.041,7.12,13.17,0.0,0.0,0.08,13.17,0.0,33.24,0.0,33.24,6.99,11.0,11.0,17709.69645390071,20112021.9964539,2011.186524822695,72.68675177304964,207.25886524822695,9.586666666666668,52200.00992907801,72.80425531914894,207.31560283687944,32.67433333333334,4.5200463320463315,35.373366013071895,15.492,4.243622902270483,120.43132328308208,6.9371444695259585,11.728636363636362,19.495495495495497
6,Ace Sanders,2014,2.0,7.0,6.0,55.0,26.0,24.0,0.0,0.0,11.5,0.005,0.011,0.0,7.86,9.17,0.0,0.0,6.0,0.0,0.0,55.0,9.17,6.0,0.0,9.17,0.0,9.17,1.92,0.0,0.084,82,0.007,2013.0,4.0,4.0,101.0,67.0,178.0,23,3,13,0,0.188,1.0,93.0,93.0,57.0,57.0,539.0,539.0,528.0,528.0,321.0,321.0,1.0,1.0,0.0,0.0,124.13999938964844,124.13999938964844,60.0,60.0,2.0,2.0,564.0,564.0,21.0,21.0,697.0,697.0,1.0,0.0,1.0,21.0,0.011,5.8,9.46,0.0,2.0,0.03,9.4,1.0,25.67,0.19,26.86,5.91,4.0,4.0,18192.0,20130101.0,2013.0,67.0,173.0,9.586666666666668,29208.0,67.0,178.0,32.67433333333334,4.58,32.0,7.0,4.37,117.0,6.81,11.728636363636362,19.495495495495497
7,Adam Humphries,2021,1.0,62.0,41.0,383.0,411.0,158.0,0.0,0.0,79.3,0.108,0.131,0.0,6.18,9.34,0.0,0.0,41.0,0.0,0.0,383.0,9.34,17.0,0.0,22.53,0.0,22.53,4.66,0.0,0.587,625,0.041,2015.0,8.0,48.0,263.0,71.0,195.0,28,7,10,0,0.412,6.0,459.0,76.5,320.0,53.333333333333336,3310.0,551.6666666666666,3032.0,505.3333333333333,1550.0,258.3333333333333,15.0,2.5,1.0,0.1666666666666666,741.5999946594238,123.59999910990398,330.0,55.0,15.0,2.5,3346.0,557.6666666666666,94.0,15.666666666666666,4069.0,678.1666666666666,0.0,0.0,0.0,0.0,0.033,7.21,10.34,0.0,4.0,0.05,10.14,0.0,35.21,0.38,35.6,7.89,1.0,14.0,17709.69645390071,20112021.9964539,2011.186524822695,72.68675177304964,207.25886524822695,9.586666666666668,52200.00992907801,72.80425531914894,207.31560283687944,32.67433333333334,4.5200463320463315,35.373366013071895,15.492,4.243622902270483,120.43132328308208,6.9371444695259585,11.728636363636362,19.495495495495497
8,Adam Thielen,2023,1.0,138.0,103.0,1016.0,1058.0,340.0,4.0,0.0,229.2,0.232,0.263,0.029,7.36,9.86,0.0,6.0,104.0,4.0,0.04,1022.0,9.83,17.0,0.0,59.76,0.35,60.12,13.48,0.0,0.91,995,0.132,2014.0,8.0,48.0,263.0,74.0,195.0,33,2,15,0,0.118,9.0,918.0,102.0,637.0,70.77777777777777,7706.0,856.2222222222222,9094.0,1010.4444444444443,2334.0,259.3333333333333,59.0,6.555555555555555,4.0,0.4444444444444444,1773.3999938964844,197.04444376627603,659.0,73.22222222222221,60.0,6.666666666666666,7884.0,876.0,135.0,15.0,7507.0,834.1111111111111,0.0,0.0,0.0,0.0,0.064,8.39,12.1,0.045,8.09,0.09,11.96,0.0,57.08,1.32,58.4,13.14,1.0,16.0,17709.69645390071,20112021.9964539,2011.186524822695,72.68675177304964,207.25886524822695,9.586666666666668,52200.00992907801,72.80425531914894,207.31560283687944,32.67433333333334,4.5200463320463315,35.373366013071895,15.492,4.243622902270483,120.43132328308208,6.9371444695259585,11.728636363636362,19.495495495495497
9,Albert Wilson,2021,1.0,39.0,25.0,213.0,210.0,143.0,0.0,0.0,47.96,0.048,0.072,0.0,5.46,8.52,0.0,4.25,31.0,0.0,0.0,229.0,7.39,10.0,-0.1,21.3,1.7,22.9,4.8,0.0,0.382,414,0.025,2014.0,8.0,48.0,263.0,69.0,195.0,29,9,8,0,0.529,7.0,334.0,47.71428571428572,218.0,31.142857142857142,2488.0,355.42857142857144,2366.0,338.0,1481.0,211.57142857142856,13.0,1.8571428571428568,1.0,0.1428571428571428,572.2399978637695,81.74857112339565,251.0,35.857142857142854,15.0,2.142857142857143,2709.0,387.0,78.0,11.142857142857142,3546.0,506.57142857142856,0.333,0.0,0.167,10.17,0.039,7.45,11.41,0.037,5.93,0.06,10.79,0.78,31.9,2.05,34.73,7.34,6.0,21.0,18567.0,20140613.0,2014.0,69.0,202.0,9.586666666666668,30303.0,69.0,200.0,32.67433333333334,4.43,37.5,10.0,4.21,123.0,7.0,11.728636363636362,19.495495495495497
10,Aldrick Robinson,2018,3.0,35.0,17.0,231.0,601.0,42.0,5.0,0.0,70.1,0.18,0.068,0.143,6.6,13.59,0.0,0.0,17.0,5.0,0.29,231.0,13.59,14.0,0.0,16.5,0.0,16.5,5.01,0.0,0.291,289,0.023,2011.0,6.0,13.0,178.0,70.0,185.0,30,8,8,1,0.471,7.0,184.0,26.285714285714285,86.0,12.285714285714286,1422.0,203.14285714285717,2833.0,404.7142857142857,319.0,45.57142857142857,14.0,2.0,0.0,0.0,313.1999984979629,44.742856928280425,90.0,12.857142857142858,14.0,2.0,1432.0,204.57142857142856,65.0,9.285714285714286,1680.0,240.0,0.0,0.0,0.0,0.0,0.076,7.73,16.53,0.0,2.5,0.16,15.91,0.0,21.88,0.15,22.03,4.82,1.0,1.0,17564.0,20110178.0,2011.0,69.63,184.0,9.586666666666668,75205.0,70.0,187.0,32.67433333333334,4.35,40.0,17.0,4.09,126.0,6.65,11.728636363636362,19.495495495495497
11,Alec Pierce,2023,1.0,65.0,32.0,514.0,977.0,97.0,2.0,0.0,95.4,0.153,0.098,0.031,7.91,16.06,0.0,0.0,32.0,2.0,0.06,514.0,16.06,17.0,0.0,30.24,0.0,30.24,5.61,0.0,0.952,1034,0.053,2022.0,2.0,21.0,53.0,75.0,211.0,23,9,8,0,0.529,1.0,143.0,143.0,73.0,73.0,1107.0,1107.0,1891.0,1891.0,210.0,210.0,4.0,4.0,0.0,0.0,207.70000457763672,207.70000457763672,73.0,73.0,4.0,4.0,1107.0,1107.0,33.0,33.0,1764.0,1764.0,0.0,0.0,0.0,0.0,0.028,7.74,15.16,0.0,0.0,0.05,15.16,0.0,33.55,0.0,33.55,6.29,2.0,3.0,17709.69645390071,20112021.9964539,2011.186524822695,72.68675177304964,207.25886524822695,9.586666666666668,52200.00992907801,72.80425531914894,207.31560283687944,32.67433333333334,4.5200463320463315,35.373366013071895,15.492,4.243622902270483,120.43132328308208,6.9371444695259585,11.728636363636362,19.495495495495497
12,Alex Erickson,2023,2.0,29.0,16.0,227.0,295.0,53.0,1.0,0.0,44.7,0.074,0.05,0.034,7.83,14.19,0.0,0.0,16.0,1.0,0.06,227.0,14.19,8.0,0.0,28.38,0.0,28.38,5.59,0.0,0.6,657,0.023,2016.0,8.0,48.0,263.0,72.0,195.0,31,5,12,0,0.294,7.0,181.0,25.857142857142858,112.0,16.0,1368.0,195.42857142857144,1674.0,239.14285714285717,522.0,74.57142857142857,4.0,0.5714285714285714,0.0,0.0,278.63999938964844,39.80571419852121,132.0,18.857142857142858,4.0,0.5714285714285714,1472.0,210.28571428571428,63.0,9.0,2220.0,317.1428571428572,0.5,0.0,0.0,13.0,0.022,7.56,12.21,0.0,4.33,0.03,11.15,0.41,21.71,1.24,23.37,4.42,1.0,1.0,17709.69645390071,20112021.9964539,2011.186524822695,72.68675177304964,207.25886524822695,9.586666666666668,52200.00992907801,72.80425531914894,207.31560283687944,32.67433333333334,4.5200463320463315,35.373366013071895,15.492,4.243622902270483,120.43132328308208,6.9371444695259585,11.728636363636362,19.495495495495497
13,Alexander Hollins,2019,3.0,4.0,2.0,46.0,75.0,6.0,0.0,0.0,6.6,0.022,0.008,0.0,11.5,23.0,0.0,0.0,2.0,0.0,0.0,46.0,23.0,2.0,0.0,23.0,0.0,23.0,3.3,0.0,0.27,258,0.005,2019.0,8.0,48.0,263.0,73.0,166.0,23,10,6,0,0.625,0.0,4.0,4.0,2.0,2.0,46.0,46.0,75.0,75.0,6.0,6.0,0.0,0.0,0.0,0.0,6.599999904632568,6.599999904632568,2.0,2.0,0.0,0.0,46.0,46.0,2.0,2.0,258.0,258.0,0.0,0.0,0.0,0.0,0.0,11.5,23.0,0.0,0.0,0.0,23.0,0.0,23.0,0.0,23.0,3.3,4.0,15.0,17709.69645390071,20112021.9964539,2011.186524822695,72.68675177304964,207.25886524822695,9.586666666666668,52200.00992907801,72.80425531914894,207.31560283687944,32.67433333333334,4.5200463320463315,35.373366013071895,15.492,4.243622902270483,120.43132328308208,6.9371444695259585,11.728636363636362,19.495495495495497
